month,metric_value_new,metric_value_open,backlog_pressure
2025-04,13390.0,647121.0,-633731.0
2025-05,12240.0,647750.0,-635510.0
2025-06,12965.0,667560.0,-654595.0
2025-07,13570.0,635902.0,-622332.0
2025-08,7980.0,650611.0,-642631.0
2025-09,8145.0,661999.0,-653854.0
